epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,3425.04,0.70816,0.45813,1.05202,0.56098,0.34733,0.39224,0.17791,2.697,2.71869,3.06435,0.000222063,0.000222063,0.000222063
148,3448.16,0.68705,0.44965,1.03474,0.4392,0.37793,0.39862,0.17057,2.66488,2.74418,3.05926,0.000214824,0.000214824,0.000214824
149,3471.29,0.70323,0.4613,1.0489,0.43072,0.39976,0.39713,0.16612,2.69954,2.67995,3.04685,0.000207686,0.000207686,0.000207686
150,3494.55,0.68993,0.45526,1.04713,0.42844,0.41658,0.40399,0.15978,2.69123,2.64478,3.09158,0.000200654,0.000200654,0.000200654
151,3517.75,0.68647,0.44266,1.03611,0.51918,0.35943,0.40804,0.16613,2.69378,2.69372,3.07826,0.000193728,0.000193728,0.000193728
152,3540.93,0.69665,0.45894,1.0542,0.41586,0.47666,0.40556,0.17352,2.70507,2.76132,3.05254,0.000186909,0.000186909,0.000186909
153,3564.02,0.70219,0.46133,1.04604,0.50048,0.36404,0.39494,0.17243,2.6441,2.82999,3.0535,0.000180201,0.000180201,0.000180201
154,3587.12,0.69005,0.45761,1.04871,0.49939,0.35847,0.38656,0.16524,2.6787,2.78237,3.12625,0.000173603,0.000173603,0.000173603
155,3610.42,0.69021,0.45828,1.03918,0.44263,0.41462,0.39633,0.17105,2.68112,2.74189,3.1078,0.000167119,0.000167119,0.000167119
156,3633.53,0.67785,0.45233,1.03743,0.51175,0.37368,0.39611,0.18032,2.66018,2.75158,3.0921,0.000160749,0.000160749,0.000160749
157,3656.66,0.6555,0.42914,1.02641,0.49705,0.39384,0.41528,0.18192,2.62153,2.69043,3.03745,0.000154495,0.000154495,0.000154495
158,3679.77,0.6715,0.44069,1.03221,0.44116,0.3888,0.40429,0.18582,2.5983,2.70357,3.05669,0.000148359,0.000148359,0.000148359
159,3702.87,0.66666,0.43294,1.02689,0.46695,0.38359,0.40786,0.18784,2.65648,2.697,3.08089,0.000142342,0.000142342,0.000142342
160,3726.05,0.69488,0.45178,1.04872,0.46627,0.41786,0.40486,0.1897,2.62629,2.67795,3.04727,0.000136445,0.000136445,0.000136445
161,3749.26,0.67838,0.4501,1.03753,0.45932,0.45716,0.42119,0.19455,2.62319,2.62948,3.03067,0.000130671,0.000130671,0.000130671
162,3772.4,0.69422,0.45351,1.0492,0.41649,0.45685,0.40747,0.1789,2.63897,2.65227,3.18772,0.00012502,0.00012502,0.00012502
163,3795.93,0.67126,0.45095,1.03156,0.52924,0.39113,0.42225,0.17537,2.6458,2.80034,3.08187,0.000119494,0.000119494,0.000119494
